run_name,split,los_basis,los_scheme,los_bin,los_bin_label,support,positive_count,positive_rate,acc,precision,recall,f1,auc,predicted_positive_rate,status,source
struct_top6_l001,valid,true_los_bin,coarse6,3,15-21,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,coarse6,4,22-28,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,coarse6,5,29-37,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,0,1,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,1,2-7,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,2,8-14,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,3,15-21,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,4,22-28,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,5,29-31,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,6,32-33,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,7,34-35,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,breakdown9,8,36-37,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,0,1,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,1,2-7,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,2,8-14,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,3,15-21,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,4,22-28,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,coarse6,5,29-37,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,0,1,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,1,2-7,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,2,8-14,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,3,15-21,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,4,22-28,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,5,29-31,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,6,32-33,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,7,34-35,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,test,true_los_bin,breakdown9,8,36-37,,,,,,,,,,missing_outcome_predictions,missing
