run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count,split,source,row_pct
struct_top6_l001,coarse6,2,8-14,1,2-7,2159,valid,joint_prediction_csv,0.28573319216516674
struct_top6_l001,coarse6,2,8-14,2,8-14,421,valid,joint_prediction_csv,0.05571731074642668
struct_top6_l001,coarse6,2,8-14,3,15-21,21,valid,joint_prediction_csv,0.00277924827951297
struct_top6_l001,coarse6,2,8-14,4,22-28,671,valid,joint_prediction_csv,0.08880359978824776
struct_top6_l001,coarse6,2,8-14,5,29-37,3365,valid,joint_prediction_csv,0.4453414505029116
struct_top6_l001,coarse6,3,15-21,0,1,684,valid,joint_prediction_csv,0.12209925026776151
struct_top6_l001,coarse6,3,15-21,1,2-7,619,valid,joint_prediction_csv,0.11049625133880757
struct_top6_l001,coarse6,3,15-21,2,8-14,323,valid,joint_prediction_csv,0.057657979293109604
struct_top6_l001,coarse6,3,15-21,3,15-21,43,valid,joint_prediction_csv,0.00767583006069261
struct_top6_l001,coarse6,3,15-21,4,22-28,758,valid,joint_prediction_csv,0.135308818279186
struct_top6_l001,coarse6,3,15-21,5,29-37,3175,valid,joint_prediction_csv,0.5667618707604427
struct_top6_l001,coarse6,4,22-28,0,1,664,valid,joint_prediction_csv,0.10054512416717142
struct_top6_l001,coarse6,4,22-28,1,2-7,471,valid,joint_prediction_csv,0.07132041187159298
struct_top6_l001,coarse6,4,22-28,2,8-14,258,valid,joint_prediction_csv,0.03906723198061781
struct_top6_l001,coarse6,4,22-28,3,15-21,17,valid,joint_prediction_csv,0.00257419745608722
struct_top6_l001,coarse6,4,22-28,4,22-28,1702,valid,joint_prediction_csv,0.25772259236826167
struct_top6_l001,coarse6,4,22-28,5,29-37,3492,valid,joint_prediction_csv,0.5287704421562689
struct_top6_l001,coarse6,5,29-37,0,1,4370,valid,joint_prediction_csv,0.0826540069225095
struct_top6_l001,coarse6,5,29-37,1,2-7,837,valid,joint_prediction_csv,0.015830984849917726
