feature,kind,index,baseline_auc,perm_auc_mean,importance_mean,importance_std,num_repeats
FRSTUSE3,node,44.0,0.9532227882939108,0.9528999436615724,0.0003228446323384038,7.878473644181486e-05,5
FREQ3,node,38.0,0.9532227882939108,0.9529290203387374,0.0002937679551735073,6.14007263272381e-05,5
MTHAMFLG,node,57.0,0.9532227882939108,0.9529445875358364,0.00027820075807432064,5.1075525577666046e-05,5
FREQ2,node,37.0,0.9532227882939108,0.95296377258536,0.0002590157085508027,7.995574139236551e-05,5
ROUTE3,node,35.0,0.9532227882939108,0.95301412064695,0.0002086676469608806,4.79422482897048e-05,5
ROUTE2,node,34.0,0.9532227882939108,0.9530194334156924,0.00020335487821836472,5.548438228838504e-05,5
ALCFLG,node,49.0,0.9532227882939108,0.9530616752353487,0.00016111305856207901,5.133333169082828e-05,5
ETHNIC,node,23.0,0.9532227882939108,0.9530647964292877,0.00015799186462315263,0.00010888185551676336,5
SUB3,node,29.0,0.9532227882939108,0.9530933967574219,0.00012939153648889868,0.00011167134432254846,5
GENDER,node,12.0,0.9532227882939108,0.9530945747058001,0.00012821358811085926,4.635281952240857e-05,5
FREQ2_D,node,40.0,0.9532227882939108,0.9530959723655524,0.00012681592835830368,0.00012252860048011136,5
FRSTUSE2,node,43.0,0.9532227882939108,0.9531001201101157,0.00012266818379516042,6.940749820924518e-05,5
HERFLG,node,52.0,0.9532227882939108,0.9531352573132225,8.7530980688455e-05,1.8546590299818715e-05,5
COKEFLG,node,50.0,0.9532227882939108,0.9531391530359145,8.363525799630623e-05,3.287782869547326e-05,5
MARFLG,node,51.0,0.9532227882939108,0.9531771843363293,4.560395758159697e-05,2.0531519506490385e-05,5
BENZFLG,node,60.0,0.9532227882939108,0.9531982230851812,2.456520872962109e-05,2.2694501926820717e-05,5
AMPHFLG,node,58.0,0.9532227882939108,0.9532015482968251,2.123999708572022e-05,9.554809380787903e-06,5
OTHERFLG,node,66.0,0.9532227882939108,0.9532105047663888,1.2283527521828041e-05,1.9514024029095296e-05,5
PCPFLG,node,55.0,0.9532227882939108,0.9532188021018291,3.986192081684159e-06,5.461137985938734e-06,5
SEDHPFLG,node,63.0,0.9532227882939108,0.9532199145060576,2.873787853219234e-06,1.229727456399882e-05,5
METHFLG,node,53.0,0.9532227882939108,0.953224811854134,-2.0235602230966878e-06,2.595018237918542e-06,5
TRNQFLG,node,61.0,0.9532227882939108,0.9532275480915888,-4.759797677977851e-06,2.4420764975515494e-06,5
STIMFLG,node,59.0,0.9532227882939108,0.9532275656315725,-4.777337661709957e-06,6.406051348747626e-06,5
OPSYNFLG,node,54.0,0.9532227882939108,0.9532277004124998,-4.912118589017744e-06,2.5098104718544206e-05,5
INHFLG,node,64.0,0.9532227882939108,0.9532277853429469,-4.997049036248313e-06,1.0558306718334768e-05,5
OTCFLG,node,65.0,0.9532227882939108,0.9532283392371689,-5.5509432579370355e-06,5.64509176408794e-06,5
BARBFLG,node,62.0,0.9532227882939108,0.9532301698575714,-7.381563660446843e-06,4.60657803011136e-06,5
HALLFLG,node,56.0,0.9532227882939108,0.9532433359232197,-2.0547629308809157e-05,5.993724296036785e-06,5
PREG,node,11.0,0.9532227882939108,0.953259804121586,-3.701582767514644e-05,3.671063215672914e-05,5
