run_name,los_scheme,pred_bin,pred_bin_label,true_bin,true_bin_label,count,share_within_pred_bin,share_within_true_bin
id26_coarse6,coarse6,1,2-7,3,15-21,1439,0.028774245150969806,0.10313194295133662
id26_coarse6,coarse6,2,8-14,3,15-21,215,0.16424751718869365,0.01540887264387587
id26_coarse6,coarse6,3,15-21,3,15-21,289,0.22560499609679938,0.02071239160037268
id26_coarse6,coarse6,4,22-28,3,15-21,2193,0.16186891054030114,0.15717050096753388
id26_coarse6,coarse6,5,29-37,3,15-21,8173,0.051272882397962384,0.5857521679925464
id26_coarse6,coarse6,0,1,4,22-28,1503,0.028370266903242857,0.09250369276218612
id26_coarse6,coarse6,1,2-7,4,22-28,1033,0.02065586882623475,0.06357705563761694
id26_coarse6,coarse6,2,8-14,4,22-28,172,0.13139801375095492,0.010585918266863614
id26_coarse6,coarse6,3,15-21,4,22-28,243,0.18969555035128804,0.014955686853766617
id26_coarse6,coarse6,4,22-28,4,22-28,4446,0.3281665190434012,0.27363367799113736
id26_coarse6,coarse6,5,29-37,4,22-28,8851,0.05552627946951732,0.5447439684884293
id26_coarse6,coarse6,0,1,5,29-37,10281,0.1940616859828608,0.07783093857404576
id26_coarse6,coarse6,1,2-7,5,29-37,2108,0.04215156968606279,0.015958332702469453
id26_coarse6,coarse6,2,8-14,5,29-37,65,0.04965622612681436,0.0004920738262146654
id26_coarse6,coarse6,3,15-21,5,29-37,56,0.04371584699453552,0.00042394052720032705
id26_coarse6,coarse6,4,22-28,5,29-37,2002,0.14777088869205787,0.015155873847411691
id26_coarse6,coarse6,5,29-37,5,29-37,117582,0.7376444461173637,0.8901388405226581
